,Year,Rank,Time,Team,Rider,Country,Time - Seconds,Time - Hours,Time - Minutes,win_flag
0,1930,9,"+ 1h 04' 37""",France,Charles Pélissier ,FRA,37.0,1,4,0
1,1931,7,"+ 1h 18' 33""",France,Louis Peglion ,FRA,33.0,1,18,0
2,1931,10,"+ 1h 30' 08""",France,André Leducq ,FRA,8.0,1,30,0
3,1931,13,"+ 1h 40' 38""",France,Benoît Fauré ,FRA,38.0,1,40,0
4,1931,14,"+ 1h 45' 11""",France,Charles Pélissier ,FRA,11.0,1,45,0
5,1932,10,"+ 1h 08' 37""",France,Georges Speicher ,FRA,37.0,1,8,0
6,1932,16,"+ 1h 25' 27""",France,Maurice Archambaud ,FRA,27.0,1,25,0
7,1932,23,"+ 1h 55' 27""",France,Roger Lapébie ,FRA,27.0,1,55,0
8,1932,25,"+ 1h 58' 16""",France,Julien Moineau ,FRA,16.0,1,58,0
9,1933,17,"+ 1h 38' 44""",France,Léon Le Calvez ,FRA,44.0,1,38,0
10,1933,19,"+ 1h 48' 31""",France,René Le Grevès ,FRA,31.0,1,48,0
11,1934,11,"+ 1h 52' 21""",France,Georges Speicher ,FRA,21.0,1,52,0
12,1935,7,"+ 1h 09' 28""",France,Maurice Archambaud ,FRA,28.0,1,9,0
13,1935,8,"+ 1h 21' 03""",France,René Vietto ,FRA,3.0,1,21,0
14,1936,14,"+ 1h 50' 15""",France,Raoul Lesueur ,FRA,15.0,1,50,0
15,1936,16,"+ 1h 52' 48""",France,Pierre Cogan ,FRA,48.0,1,52,0
16,1936,18,"+ 1h 57' 09""",France,Robert Tanneveau ,FRA,9.0,1,57,0
17,1937,7,"+ 1h 05' 19""",France,Paul Chocque ,FRA,19.0,1,5,0
18,1937,21,"+ 1h 47' 03""",France,Robert Tanneveau ,FRA,3.0,1,47,0
19,1938,11,"+ 1h 07' 34""",France,Jean-Marie Goasmat ,FRA,34.0,1,7,0
20,1938,15,"+ 1h 24' 34""",France,Pierre Gallien ,FRA,34.0,1,24,0
21,1938,18,"+ 1h 37' 24""",France,Jean Fréchaut ,FRA,24.0,1,37,0
22,1939,13,"+ 1h 02' 05""",France,Auguste Mallet ,FRA,5.0,1,2,0
23,1939,19,"+ 1h 23' 53""",France,Georges Naisse ,FRA,53.0,1,23,0
24,1939,25,"+ 1h 47' 47""",France,Victor Cosson ,FRA,47.0,1,47,0
25,1947,11,"+ 1h 32' 16""",France,Lucien Teisseire ,FRA,16.0,1,32,0
26,1948,16,"+ 1h 41' 26""",France,Jean Robic ,FRA,26.0,1,41,0
27,1948,17,"+ 1h 42' 48""",France,René Vietto ,FRA,48.0,1,42,0
28,1949,14,"+ 1h 34' 56""",France,Lucien Teisseire ,FRA,56.0,1,34,0
29,1949,16,"+ 1h 38' 40""",France,Robert Chapatte ,FRA,40.0,1,38,0
30,1950,24,"+ 1h 48' 05""",France,Paul Giguet ,FRA,5.0,1,48,0
31,1951,20,"+ 1h 24' 09""",France,Louison Bobet ,FRA,9.0,1,24,0
32,1951,26,"+ 1h 51' 09""",France,Bernard Gauthier ,FRA,9.0,1,51,0
33,1952,11,"+ 1h 02' 47""",France,Raphaël Géminiani ,FRA,47.0,1,2,0
34,1952,19,"+ 1h 59' 43""",France,Nello Lauredi ,FRA,43.0,1,59,0
35,1953,26,"+ 1h 12' 57""",France,Lucien Teisseire ,FRA,57.0,1,12,0
36,1953,30,"+ 1h 22' 15""",France,Jean Le Guilly ,FRA,15.0,1,22,0
37,1953,35,"+ 1h 37' 24""",France,Adolphe Deledda ,FRA,24.0,1,37,0
38,1954,19,"+ 1h 12' 20""",France,Antonin Rolland ,FRA,20.0,1,12,0
39,1954,23,"+ 1h 28' 52""",France,Lucien Teisseire ,FRA,52.0,1,28,0
40,1954,26,"+ 1h 39' 46""",France,Adolphe Deledda ,FRA,46.0,1,39,0
41,1954,27,"+ 1h 43' 48""",France,Jean Forestier ,FRA,48.0,1,43,0
42,1955,14,"+ 1h 00' 05""",France,Jean Bobet ,FRA,5.0,1,0,0
43,1956,34,"+ 1h 26' 32""",France,Jean Malléjac ,FRA,32.0,1,26,0
44,1956,35,"+ 1h 29' 52""",France,Antonin Rolland ,FRA,52.0,1,29,0
45,1956,46,"+ 1h 53' 38""",France,Pierre Barbotin ,FRA,38.0,1,53,0
46,1956,49,"+ 1h 57' 32""",France,Raphaël Géminiani ,FRA,32.0,1,57,0
47,1957,26,"+ 1h 36' 11""",France,Louis Bergaud ,FRA,11.0,1,36,0
48,1957,27,"+ 1h 40' 10""",France,André Darrigade ,FRA,10.0,1,40,0
49,1958,15,"+ 1h 12' 51""",France,Gilbert Bauvin ,FRA,51.0,1,12,0
50,1958,21,"+ 1h 34' 22""",France,André Darrigade ,FRA,22.0,1,34,0
51,1958,25,"+ 1h 40' 46""",France,Joseph Groussard ,FRA,46.0,1,40,0
52,1959,16,"+ 1h 03' 01""",France,André Darrigade ,FRA,1.0,1,3,0
53,1959,28,"+ 1h 43' 57""",France,Raphaël Géminiani ,FRA,57.0,1,43,0
54,1959,32,"+ 1h 49' 59""",France,Robert Cazala ,FRA,59.0,1,49,0
55,1959,35,"+ 1h 56' 50""",France,Jean Graczyk ,FRA,50.0,1,56,0
56,1960,32,"+ 1h 17' 13""",France,Pierre Everaert ,FRA,13.0,1,17,0
57,1960,35,"+ 1h 25' 28""",France,Jean Dotto ,FRA,28.0,1,25,0
58,1961,31,"+1h 23' 12""",France,Louis Rostollan ,FRA,12.0,1,23,0
59,1961,32,"+1h 24' 51""",France,André Darrigade ,FRA,51.0,1,24,0
60,1961,35,"+1h 28' 11""",France,Jean Forestier ,FRA,11.0,1,28,0
61,1961,40,"+1h 36' 23""",France,Robert Cazala ,FRA,23.0,1,36,0
62,1961,42,"+1h 39' 10""",France,Jean Stablinski ,FRA,10.0,1,39,0
63,1961,45,"+1h 49' 00""",France,Joseph Groussard ,FRA,0.0,1,49,0
64,1967,72,"+ 1h 31' 59""",France,Raymond Riotte ,FRA,59.0,1,31,0
65,1967,78,"+ 1h 41' 44""",France,Paul Lemeteyer ,FRA,44.0,1,41,0
